Ackermann, Jens, FDP
Grübel, Markus, CDU/CSU
Grund, Manfred, CDU/CSU
Gruß, Miriam, FDP
Grütters, Monika, CDU/CSU
Gunkel, Wolfgang, SPD
Günther (Plauen), Joachim, FDP
Guttenberg, Karl-Theodor Freiherr zu, CDU/CSU *)
Gutting, Olav, CDU/CSU
Gysi, Dr. Gregor, Die Linke
Hacker, Hans-Joachim, SPD
Hagedorn, Bettina, SPD
Hagemann, Klaus, SPD
Hahn, Florian, CDU/CSU
Haibach, Holger, CDU/CSU *)
Hänsel, Heike, Die Linke
Happach-Kasan, Dr. Christel, FDP
Harbarth, Dr. Stephan, CDU/CSU
Hardt, Jürgen, CDU/CSU
Hartmann (Wackernheim), Michael, SPD
Hasselfeldt, Gerda, CDU/CSU
Haßelmann, Britta, Bündnis 90/Die Grünen
Haustein, Heinz-Peter, FDP
Heider, Dr. Matthias, CDU/CSU
Heiderich, Helmut, CDU/CSU
Heil (Peine), Hubertus, SPD
Heil, Mechthild, CDU/CSU
Hein, Dr. Rosemarie, Die Linke
Heinen-Esser, Ursula, CDU/CSU
Heinrich, Frank, CDU/CSU
Hellmich, Wolfgang, SPD
Hempelmann, Rolf, SPD
Hendricks, Dr. Barbara, SPD
Henke, Rudolf, CDU/CSU
Hennrich, Michael, CDU/CSU
Herlitzius, Bettina, Bündnis 90/Die Grünen
Hermann, Winfried, Bündnis 90/Die Grünen *)
Herrmann, Jürgen, CDU/CSU +)
Herzog, Gustav, SPD
Heveling, Ansgar, CDU/CSU
Hiller-Ohm, Gabriele, SPD
Hinsken, Ernst, CDU/CSU
Hintze, Peter, CDU/CSU
Hinz (Essen), Petra, SPD
Hinz (Herborn), Priska, Bündnis 90/Die Grünen
Hirte, Christian, CDU/CSU
Hochbaum, Robert, CDU/CSU
Höferlin, Manuel, FDP
Hoff, Elke, FDP
Höfken, Ulrike, Bündnis 90/Die Grünen *)
Hofmann (Volkach), Frank, SPD
Hofreiter, Dr. Anton, Bündnis 90/Die Grünen
Höger, Inge, Die Linke
Högl, Dr. Eva, SPD
Höhn, Bärbel, Bündnis 90/Die Grünen
Höll, Dr. Barbara, Die Linke
Holmeier, Karl, CDU/CSU
Holzenkamp, Franz-Josef, CDU/CSU
Homburger, Birgit, FDP
Hönlinger, Ingrid, Bündnis 90/Die Grünen
Hoppe, Thilo, Bündnis 90/Die Grünen
Hörster, Joachim, CDU/CSU
Hoyer, Dr. Werner, FDP *)
Hübinger, Anette, CDU/CSU
Humme, Christel, SPD
Hunko, Andrej, Die Linke
Hüppe, Hubert, CDU/CSU
Jarzombek, Thomas, CDU/CSU
Jasper, Dieter, CDU/CSU
Jelpke, Ulla, Die Linke
Jochimsen, Dr. Lukrezia, Die Linke
Jung (Konstanz), Andreas, CDU/CSU
Jung, Dr. Franz Josef, CDU/CSU
Juratovic, Josip, SPD
Jüttner, Dr. Egon, CDU/CSU
Kaczmarek, Oliver, SPD
Kahrs, Johannes, SPD
Kalb, Bartholomäus, CDU/CSU
Kammer, Hans-Werner, CDU/CSU
Kamp, Heiner, FDP
Kampeter, Steffen, CDU/CSU
Karl, Alois, CDU/CSU
Kaster, Bernhard, CDU/CSU
Kastner, Dr. h. c. Susanne, SPD
Kauch, Michael, FDP
Kauder (Villingen-Schwenningen), Siegfried, CDU/CSU
Kauder, Volker, CDU/CSU
Kaufmann, Dr. Stefan, CDU/CSU
Kekeritz, Uwe, Bündnis 90/Die Grünen
Kelber, Ulrich, SPD
Keul, Katja, Bündnis 90/Die Grünen
Kieckbusch, Susanne, Bündnis 90/Die Grünen
Kiesewetter, Roderich, CDU/CSU
Kilic, Memet, Bündnis 90/Die Grünen
Kindler, Sven-Christian, Bündnis 90/Die Grünen
Kipping, Katja, Die Linke
Klaeden, Eckart von, CDU/CSU
Klamt, Ewa, CDU/CSU
Klein, Volkmar, CDU/CSU
Klein-Schmeink, Maria, Bündnis 90/Die Grünen
Klimke, Jürgen, CDU/CSU
Klingbeil, Lars, SPD
Klöckner, Julia, CDU/CSU *)
Klose, Hans-Ulrich, SPD
Klug, Astrid, SPD
Knoerig, Axel, CDU/CSU
Knopek, Dr. Lutz, FDP
Kober, Pascal, FDP
Koch, Harald, Die Linke
Koczy, Ute, Bündnis 90/Die Grünen
Koenigs, Tom, Bündnis 90/Die Grünen
Koeppen, Jens, CDU/CSU
Kofler, Dr. Bärbel, SPD
Kolb, Dr. Heinrich Leonhard, FDP
Kolbe, Daniela, SPD
Kolbe, Manfred, CDU/CSU
Königshaus, Hellmut, FDP *)
Kopp, Gudrun, FDP
Koppelin, Dr. h.c. Jürgen, FDP
Körber, Sebastian, FDP
Körper, Fritz Rudolf, SPD
Korte, Jan, Die Linke
Koschorrek, Dr. Rolf, CDU/CSU
Koschyk, Hartmut, CDU/CSU
Kossendey, Thomas, CDU/CSU
Kotting-Uhl, Sylvia, Bündnis 90/Die Grünen
Kramme, Anette, SPD
Krellmann, Jutta, Die Linke
Kressl, Nicolette, SPD *)
Krestel, Holger, FDP
Kretschmer, Michael, CDU/CSU
Krichbaum, Gunther, CDU/CSU
Krings, Dr. Günter, CDU/CSU
Krischer, Oliver, Bündnis 90/Die Grünen
Krogmann, Dr. Martina, CDU/CSU *)
Krüger-Leißner, Angelika, SPD
Krumwiede, Agnes, Bündnis 90/Die Grünen
Kruse, Rüdiger, CDU/CSU
Kudla, Bettina, CDU/CSU
Kues, Dr. Hermann, CDU/CSU
Kuhn, Fritz, Bündnis 90/Die Grünen *)
Kühn, Stephan, Bündnis 90/Die Grünen
Kumpf, Ute, SPD
Künast, Renate, Bündnis 90/Die Grünen
Kunert, Katrin, Die Linke
Kurth, Markus, Bündnis 90/Die Grünen
Kurth, Patrick, FDP
Kurth (Quedlinburg), Undine, Bündnis 90/Die Grünen
Lach, Günter, CDU/CSU
Lafontaine, Oskar, Die Linke *)
Lambrecht, Christine, SPD
Lamers (Heidelberg), Dr. Dr. h.c. Karl A., CDU/CSU
Lämmel, Andreas G., CDU/CSU
Lammert, Prof. Dr. Norbert, CDU/CSU
Landgraf, Katharina, CDU/CSU
Lanfermann, Heinz, FDP
Lange (Backnang), Christian, SPD
Lange, Ulrich, CDU/CSU
Laurischk, Sibylle, FDP
Lauterbach, Dr. Karl, SPD
Lay, Caren, Die Linke
Lazar, Monika, Bündnis 90/Die Grünen
Lehmer, Dr. Max, CDU/CSU
Lehrieder, Paul, CDU/CSU
Leibrecht, Harald, FDP
Leidig, Sabine, Die Linke
Lemme, Steffen-Claudio, SPD
Lenkert, Ralph, Die Linke
Leutert, Michael, Die Linke
Leutheusser-Schnarrenberger, Sabine, FDP
Leyen, Dr. Ursula von der, CDU/CSU
Liebich, Stefan, Die Linke
Liebing, Ingbert, CDU/CSU
Lietz, Matthias, CDU/CSU
Lindemann, Lars, FDP
Lindner, Christian, FDP *)
Lindner, Dr. Martin, FDP
Lindner, Dr. Tobias, Bündnis 90/Die Grünen
Link (Heilbronn), Michael, FDP
Linnemann, Dr. Carsten, CDU/CSU
Lips, Patricia, CDU/CSU
Lischka, Burkhard, SPD
Lösekrug-Möller, Gabriele, SPD
Lotter, Dr. Erwin, FDP
Lötzer, Ulla, Die Linke
Lötzsch, Dr. Gesine, Die Linke
Luczak, Dr. Jan-Marco, CDU/CSU
Ludwig, Daniela, CDU/CSU
Lühmann, Kirsten, SPD
Luksic, Oliver, FDP
Luther, Dr. Michael, CDU/CSU
Lutze, Thomas, Die Linke
Maag, Karin, CDU/CSU
Maisch, Nicole, Bündnis 90/Die Grünen
Maizière, Dr. Thomas de, CDU/CSU
Marks, Caren, SPD
Marwitz, Hans-Georg von der, CDU/CSU
Mast, Katja, SPD
Mattfeldt, Andreas, CDU/CSU
Mattheis, Hilde, SPD
Maurer, Ulrich, Die Linke
Mayer (Altötting), Stephan, CDU/CSU
Meierhofer, Horst, FDP
Meinhardt, Patrick, FDP
Meister, Dr. Michael, CDU/CSU
Menzner, Dorothée, Die Linke
Merkel, Dr. Angela, CDU/CSU
Merkel (Berlin), Petra, SPD
Meßmer, Ullrich, SPD
Michalk, Maria, CDU/CSU
Michelbach, Dr. h. c. Hans, CDU/CSU
Middelberg, Dr. Mathias, CDU/CSU
Miersch, Dr. Matthias, SPD
Mißfelder, Philipp, CDU/CSU
Möhring, Cornelia, Die Linke
Molitor, Gabriele, FDP
Möller, Kornelia, Die Linke
Monstadt, Dietrich, CDU/CSU
Montag, Jerzy, Bündnis 90/Die Grünen
Mortler, Marlene, CDU/CSU
Movassat, Niema, Die Linke
Mücke, Jan, FDP
Müller, Dr. Gerd, CDU/CSU
Müller (Köln), Kerstin, Bündnis 90/Die Grünen
Müller, Petra, FDP
Müller (Erlangen), Stefan, CDU/CSU
Müller-Gemmeke, Beate, Bündnis 90/Die Grünen
Müller-Sönksen, Burkhardt, FDP
Müntefering, Franz, SPD
Murmann, Dr. Philipp, CDU/CSU
Mützenich, Dr. Rolf, SPD
Nahles, Andrea, SPD
Nestle, Ingrid, Bündnis 90/Die Grünen *)
Neumann (Bremen), Bernd, CDU/CSU
Neumann, Dr. Martin, FDP
Nešković, Wolfgang, fraktionslos
Niebel, Dirk, FDP
Nietan, Dietmar, SPD
Nink, Manfred, SPD
Noll, Michaela, CDU/CSU
Nord, Thomas, Die Linke
Notz, Dr. Konstantin von, Bündnis 90/Die Grünen
Nouripour, Omid, Bündnis 90/Die Grünen
Nüßlein, Dr. Georg, CDU/CSU
Obermeier, Franz, CDU/CSU
Oppermann, Thomas, SPD
Ortel, Holger, SPD
Ostendorff, Friedrich, Bündnis 90/Die Grünen
Oswald, Eduard, CDU/CSU
Ott, Dr. Hermann E., Bündnis 90/Die Grünen
Otte, Henning, CDU/CSU
Otto (Frankfurt), Hans-Joachim, FDP
Özoğuz, Aydan, SPD
Pau, Petra, Die Linke
Paul, Dr. Michael, CDU/CSU
Paula, Heinz, SPD
Paus, Lisa, Bündnis 90/Die Grünen
Pawelski, Rita, CDU/CSU
Petermann, Jens, Die Linke
Petzold, Ulrich, CDU/CSU
Pfeiffer, Dr. Joachim, CDU/CSU
Pfeiffer, Sibylle, CDU/CSU
Pflug, Johannes, SPD
Philipp, Beatrix, CDU/CSU
Pieper, Cornelia, FDP
Piltz, Gisela, FDP
Pitterle, Richard, Die Linke
Ploetz, Yvonne, Die Linke
Pofalla, Ronald, CDU/CSU
Poland, Christoph, CDU/CSU
Polenz, Ruprecht, CDU/CSU
Polheim, Jörg von, FDP
Pols, Eckhard, CDU/CSU
Poß, Joachim, SPD
Pothmer, Brigitte, Bündnis 90/Die Grünen
Priesmeier, Dr. Wilhelm, SPD
Pronold, Florian, SPD
Puttrich, Lucia, CDU/CSU *)
Raabe, Dr. Sascha, SPD
Rachel, Thomas, CDU/CSU
Ramsauer, Dr. Peter, CDU/CSU
Ratjen-Damerau, Dr. Christiane, FDP
Rawert, Mechthild, SPD
Rebmann, Stefan, SPD
Rehberg, Eckhardt, CDU/CSU
Reiche (Potsdam), Katherina, CDU/CSU
Reichenbach, Gerold, SPD
Reimann, Dr. Carola, SPD
Reinemund, Dr. Birgit, FDP
Reinhold, Hagen, FDP
Remmers, Ingrid Lieselotte, Die Linke
Riebsamen, Lothar, CDU/CSU
Rief, Josef, CDU/CSU
Riegert, Klaus, CDU/CSU
Riesenhuber, Dr. Heinz, CDU/CSU
Rix, Sönke, SPD
Röhlinger, Dr. Peter, FDP
Röring, Johannes, CDU/CSU
Röspel, René, SPD
Rossmann, Dr. Ernst Dieter, SPD
Rößner, Tabea, Bündnis 90/Die Grünen
Roth (Augsburg), Claudia, Bündnis 90/Die Grünen
Roth (Esslingen), Karin, SPD
Roth (Heringen), Michael, SPD
Röttgen, Dr. Norbert, CDU/CSU
Ruck, Dr. Christian, CDU/CSU
Rüddel, Erwin, CDU/CSU
Ruppert, Dr. Stefan, FDP
Rupprecht (Weiden), Albert, CDU/CSU
Rupprecht (Tuchenbach), Marlene, SPD
Sager, Krista, Bündnis 90/Die Grünen
Sänger, Björn, FDP
Sarrazin, Manuel, Bündnis 90/Die Grünen
Sawade, Annette, SPD
Schaaf, Anton, SPD
Schäfer (Saalstadt), Anita, CDU/CSU
Schäfer (Bochum), Axel, SPD
Schäfer (Köln), Paul, Die Linke
Schäffler, Frank, FDP
Scharfenberg, Elisabeth, Bündnis 90/Die Grünen
Schäuble, Dr. Wolfgang, CDU/CSU
Schavan, Dr. Annette, CDU/CSU
Scheel, Christine, Bündnis 90/Die Grünen *)
Scheelen, Bernd, SPD
Scheer, Dr. Hermann, SPD +)
Scheuer, Dr. Andreas, CDU/CSU
Schick, Dr. Gerhard, Bündnis 90/Die Grünen
Schieder, Marianne, SPD
Schieder, Werner, SPD
Schiewerling, Karl, CDU/CSU
Schindler, Norbert, CDU/CSU
Schipanski, Tankred, CDU/CSU
Schirmbeck, Georg, CDU/CSU
Schlecht, Michael, Die Linke
Schmidt (Fürth), Christian, CDU/CSU
Schmidt, Dr. Frithjof, Bündnis 90/Die Grünen
Schmidt (Eisleben), Silvia, SPD
Schmidt (Aachen), Ulla, SPD
Schneider (Erfurt), Carsten, SPD
Schneider, Ulrich, Bündnis 90/Die Grünen
Schnieder, Patrick, CDU/CSU
Schnurr, Christoph, FDP
Schockenhoff, Dr. Andreas, CDU/CSU
Scholz, Olaf, SPD *)
Schön, Nadine, CDU/CSU
Schreiner, Ottmar, SPD +)
Schröder (Wiesbaden), Dr. Kristina, CDU/CSU
Schröder, Dr. Ole, CDU/CSU
Schui, Dr. Herbert, Die Linke *)
Schulte-Drüggelte, Bernhard, CDU/CSU
Schulz, Jimmy, FDP
Schulz (Spandau), Swen, SPD
Schummer, Uwe, CDU/CSU
Schurer, Ewald, SPD
Schuster, Armin, CDU/CSU
Schuster, Marina, FDP
Schwabe, Frank, SPD
Schwall-Düren, Dr. Angelica, SPD *)
Schwanholz, Dr. Martin, SPD
Schwanitz, Rolf, SPD
Schwartze, Stefan, SPD
Schwarzelühr-Sutter, Rita, SPD
Schweickert, Dr. Erik, FDP
Seif, Detlef, CDU/CSU
Seifert, Dr. Ilja, Die Linke
Seiler, Till, Bündnis 90/Die Grünen *)
Selle, Johannes, CDU/CSU
Sendker, Reinhold, CDU/CSU
Senger-Schäfer, Kathrin, Die Linke
Sensburg, Dr. Patrick, CDU/CSU
Sharma, Raju, Die Linke
Siebert, Bernd, CDU/CSU
Sieling, Dr. Carsten, SPD
Silberhorn, Thomas, CDU/CSU
Simmling, Werner, FDP
Singhammer, Johannes, CDU/CSU
Sitte, Dr. Petra, Die Linke
Skudelny, Judith, FDP
Solms, Dr. Hermann Otto, FDP
Spahn, Jens, CDU/CSU
Spatz, Joachim, FDP
Stadler, Dr. Max, FDP +)
Staffeldt, Torsten, FDP
Stauche, Carola, CDU/CSU
Steffel, Dr. Frank, CDU/CSU
Steffen, Sonja Amalie, SPD
Steinbach, Erika, CDU/CSU
Steinbrück, Peer, SPD
Steiner, Dorothea, Bündnis 90/Die Grünen
Steinke, Kersten, Die Linke
Steinmeier, Dr. Frank-Walter, SPD
Stetten, Christian Freiherr von, CDU/CSU
Stier, Dieter, CDU/CSU
Stinner, Dr. Rainer, FDP
Storjohann, Gero, CDU/CSU
Stracke, Stephan, CDU/CSU
Strässer, Christoph, SPD
Straubinger, Max, CDU/CSU
Strengmann-Kuhn, Dr. Wolfgang, Bündnis 90/Die Grünen
Strenz, Karin, CDU/CSU
Ströbele, Hans-Christian, Bündnis 90/Die Grünen
Strobl (Heilbronn), Thomas, CDU/CSU
Strothmann, Lena, CDU/CSU
Stüber, Sabine Ursula, Die Linke
Stübgen, Michael, CDU/CSU
Süßmair, Alexander, Die Linke
Tack, Kerstin, SPD
Tackmann, Dr. Kirsten, Die Linke
Tauber, Dr. Peter, CDU/CSU
Tempel, Frank, Die Linke
Terpe, Dr. Harald, Bündnis 90/Die Grünen
Thiele, Carl-Ludwig, FDP *)
Thierse, Dr. h. c. Wolfgang, SPD
Thomae, Stephan, FDP
Thönnes, Franz, SPD
Tiefensee, Wolfgang, SPD
Tillmann, Antje, CDU/CSU
Todtenhausen, Manfred, FDP
Toncar, Dr. Florian, FDP
Tören, Serkan, FDP
Tressel, Markus, Bündnis 90/Die Grünen
Trittin, Jürgen, Bündnis 90/Die Grünen
Troost, Dr. Axel, Die Linke
Uhl, Dr. Hans-Peter, CDU/CSU
Ulrich, Alexander, Die Linke
Vaatz, Arnold, CDU/CSU
Veit, Rüdiger, SPD
Vogel, Johannes, FDP
Vogel, Volkmar, CDU/CSU
Vogelsang, Stefanie, CDU/CSU
Vogler, Kathrin, Die Linke
Vogt, Ute, SPD
Volk, Dr. Daniel, FDP
Volkmer, Dr. Marlies, SPD
Voß, Johanna, Die Linke
Voßhoff, Andrea Astrid, CDU/CSU
Wadephul, Dr. Johann, CDU/CSU
Wagenknecht, Dr. Sahra, Die Linke
Wagner (Schleswig), Arfst, Bündnis 90/Die Grünen
Wagner, Daniela, Bündnis 90/Die Grünen
Walter-Rosenheimer, Beate, Bündnis 90/Die Grünen
Wanderwitz, Marco, CDU/CSU
Wawzyniak, Halina, Die Linke
Wegner, Kai, CDU/CSU
Weinberg, Harald, Die Linke
Weinberg, Marcus, CDU/CSU
Weiß (Emmendingen), Peter, CDU/CSU
Weiss, Sabine, CDU/CSU
Wellenreuther, Ingo, CDU/CSU
Wellmann, Karl-Georg, CDU/CSU
Werner, Katrin, Die Linke
Westerwelle, Dr. Guido, FDP
Wichtel, Heinz Peter, CDU/CSU
Wicklein, Andrea, SPD
Widmann-Mauz, Annette, CDU/CSU
Wieczorek-Zeul, Heidemarie, SPD
Wiefelspütz, Dr. Dieter, SPD
Wieland, Wolfgang, Bündnis 90/Die Grünen
Willsch, Klaus-Peter, CDU/CSU
Wilms, Dr. Valerie, Bündnis 90/Die Grünen
Winkelmeier-Becker, Elisabeth, CDU/CSU
Winkler, Josef Philip, Bündnis 90/Die Grünen
Winterstein, Dr. Claudia, FDP
Wissing, Dr. Volker, FDP
Wöhrl, Dagmar G., CDU/CSU
Wolff (Rems-Murr), Hartfrid, FDP
Wolff (Wolmirstedt), Waltraud, SPD
Wunderlich, Jörn, Die Linke
Zapf, Uta, SPD
Ziegler, Dagmar, SPD
Zimmer, Dr. Matthias, CDU/CSU
Zimmermann, Sabine, Die Linke
Zöller, Wolfgang, CDU/CSU
Zöllmer, Manfred Helmut, SPD
Zylajew, Willi, CDU/CSU
Zypries, Brigitte, SPD
