Aken, Jan van, Die Linke
Hunko, Andrej, Die Linke
Hupach, Sigrid, Die Linke
Hüppe, Hubert, CDU/CSU
Ilgen, Matthias, SPD
Irlstorfer, Erich, CDU/CSU
Janecek, Dieter, Bündnis 90/Die Grünen
Jantz, Christina, SPD
Jarzombek, Thomas, CDU/CSU
Jelpke, Ulla, Die Linke
Jörrißen, Sylvia, CDU/CSU
Jost, Reinhold, SPD
Jung (Kostanz), Andreas, CDU/CSU
Jung, Dr. Franz Josef, CDU/CSU
Jung, Xaver, CDU/CSU
Junge, Frank, SPD
Juratovic, Josip, SPD
Jurk, Thomas, SPD
Jüttner, Dr. Egon, CDU/CSU
Kaczmarek, Oliver, SPD
Kahrs, Johannes, SPD
Kalb, Bartholomäus, CDU/CSU
Kammer, Hans-Werner, CDU/CSU
Kampeter, Steffen, CDU/CSU
Kampmann, Christina, SPD
Kanitz, Steffen, CDU/CSU
Kapschack, Ralf, SPD
Karawanskij, Susanna, Die Linke
Karl, Alois, CDU/CSU
Karliczek, Anja, CDU/CSU
Kassner, Kerstin, Die Linke
Kaster, Bernhard, CDU/CSU
Katzmarek, Gabriele, SPD
Kauder, Volker, CDU/CSU
Kaufmann, Dr. Stefan, CDU/CSU
Kekeritz, Uwe, Bündnis 90/Die Grünen
Kelber, Ulrich, SPD
Kermer, Marina, SPD
Keul, Katja, Bündnis 90/Die Grünen
Kiesewetter, Roderich, CDU/CSU
Kindler, Sven-Christian, Bündnis 90/Die Grünen
Kippels, Dr. Georg, CDU/CSU
Kipping, Katja, Die Linke
Kiziltepe, Cansel, SPD
Klare, Arno, SPD
Klein, Volkmar, CDU/CSU
Klein-Schmeink, Maria, Bündnis 90/Die Grünen
Klimke, Jürgen, CDU/CSU
Klingbeil, Lars, SPD
Knoerig, Axel, CDU/CSU
Koenigs, Tom, Bündnis 90/Die Grünen
Koeppen, Jens, CDU/CSU
Kofler, Dr. Bärbel, SPD
Kolbe (Leipzig), Daniela, SPD
Kömpel, Birgit, SPD
Koob, Markus, CDU/CSU
Körber, Carsten, CDU/CSU
Korte, Jan, Die Linke
Koschyk, Hartmut, CDU/CSU
Kotting-Uhl, Sylvia, Bündnis 90/Die Grünen
Kovac, Kordula, CDU/CSU
Kramme, Anette, SPD
Krellmann, Jutta, Die Linke
Kretschmer, Michael, CDU/CSU
Krichbaum, Gunther, CDU/CSU
Krings, Dr. Günter, CDU/CSU
Krischer, Oliver, Bündnis 90/Die Grünen
Krüger, Dr. Hans-Ulrich, SPD
Kruse, Rüdiger, CDU/CSU
Kudla, Bettina, CDU/CSU
Kühn (Tübingen), Christian, Bündnis 90/Die Grünen
Kühn (Dresden), Stephan, Bündnis 90/Die Grünen
Kühne, Dr. Roy, CDU/CSU
Kühn-Mengel, Helga, SPD
Künast, Renate, Bündnis 90/Die Grünen
Kunert, Katrin, Die Linke
Kurth, Markus, Bündnis 90/Die Grünen
Lach, Günter, CDU/CSU
Lagosky, Uwe, CDU/CSU
Lambrecht, Christine, SPD
Lamers, Dr. Dr. h.c. Karl A., CDU/CSU
Lämmel, Andreas Gottfried, CDU/CSU
Lammert, Prof. Dr. Norbert, CDU/CSU
Landgraf, Katharina, CDU/CSU
Lange (Backnang), Christian, SPD
Lange, Ulrich, CDU/CSU
Lanzinger, Barbara, CDU/CSU
Launert, Silke, CDU/CSU
Lauterbach, Dr. Karl, SPD
Lay, Caren, Die Linke
Lazar, Monika, Bündnis 90/Die Grünen
Lehrieder, Paul, CDU/CSU
Leidig, Sabine, Die Linke
Leikert, Dr. Katja, CDU/CSU
Lemke, Steffi, Bündnis 90/Die Grünen
Lemme, Steffen-Claudio, SPD
Lengsfeld, Dr. Philipp, CDU/CSU
Lenkert, Ralph, Die Linke
Lenz, Dr. Andreas, CDU/CSU
Lerchenfeld, Philipp Graf, CDU/CSU
Leutert, Michael, Die Linke
Leyen, Dr. Ursula von der, CDU/CSU
Lezius, Antje, CDU/CSU
Liebich, Stefan, Die Linke
Liebing, Ingbert, CDU/CSU
Lietz, Matthias, CDU/CSU
Lindholz, Andrea, CDU/CSU
Lindner, Dr. Tobias, Bündnis 90/Die Grünen
Linnemann, Dr. Carsten, CDU/CSU
Lips, Patricia, CDU/CSU
Lischka, Burkhard, SPD
Lorenz, Wilfried, CDU/CSU
Lösekrug-Möller, Gabriele, SPD
Lotze, Hiltrud, SPD
Lötzsch, Dr. Gesine, Die Linke
Lücking-Michel, Dr. Claudia, CDU/CSU
Luczak, Dr. Jan-Marco, CDU/CSU
Ludwig, Daniela, CDU/CSU
Lühmann, Kirsten, SPD
Lutze, Thomas, Die Linke
Maag, Karin, CDU/CSU
Magwas, Yvonne, CDU/CSU
Mahlberg, Thomas, CDU/CSU
Maisch, Nicole, Bündnis 90/Die Grünen
Maizière, Dr. Thomas de, CDU/CSU
Malecha-Nissen, Dr. Birgit, SPD
Manderla, Gisela, CDU/CSU
Marks, Caren, SPD
Marschall, Matern von, CDU/CSU
Marwitz, Hans-Georg von der, CDU/CSU
Mast, Katja, SPD
Mattfeldt, Andreas, CDU/CSU
Mattheis, Hildegard, SPD
Mayer (Altötting), Stephan, CDU/CSU
Meier, Reiner, CDU/CSU
Meister, Dr. Michael, CDU/CSU
Meiwald, Peter, Bündnis 90/Die Grünen
Merkel, Dr. Angela, CDU/CSU
Metzler, Jan, CDU/CSU
Michalk, Maria, CDU/CSU
Michelbach, Dr. h. c. Hans, CDU/CSU
Middelberg, Dr. Mathias, CDU/CSU
Miersch, Dr. Matthias, SPD
Mihalic, Irene, Bündnis 90/Die Grünen
Mindrup, Klaus, SPD
Mißfelder, Philipp, CDU/CSU
Mittag, Susanne, SPD
Möhring, Cornelia, Die Linke
Monstadt, Dietrich, CDU/CSU
Möring, Karsten, CDU/CSU
Mortler, Marlene, CDU/CSU
Motschmann, Elisabeth, CDU/CSU
Movassat, Niema, Die Linke
Müller, Bettina, SPD
Müller (Braunschweig), Carsten, CDU/CSU
Müller, Dr. Gerd, CDU/CSU
Müller (Erlangen), Stefan, CDU/CSU
Müller-Gemmeke, Beate, Bündnis 90/Die Grünen
Müntefering, Michelle, SPD
Murmann, Dr. Philipp, CDU/CSU
Mutlu, Özcan, Bündnis 90/Die Grünen
Mützenich, Dr. Rolf, SPD
Nahles, Andrea, SPD
Neu, Dr. Alexander S., Die Linke
Nick, Dr. Andreas, CDU/CSU
Nietan, Dietmar, SPD
Nissen, Ulli, SPD
Noll, Michaela, CDU/CSU
Nord, Thomas, Die Linke
Notz, Dr. Konstantin von, Bündnis 90/Die Grünen
Nouripour, Omid, Bündnis 90/Die Grünen
Nowak, Helmut, CDU/CSU
Nüßlein, Dr. jur. Georg, CDU/CSU
Oellers, Wilfried, CDU/CSU
Oppermann, Thomas, SPD
Oßner, Florian, CDU/CSU
Ostendorff, Friedrich, Bündnis 90/Die Grünen
Ostermann, Dr. Tim, CDU/CSU
Otte, Henning, CDU/CSU
Özdemir, Cem, Bündnis 90/Die Grünen
Özdemir (Duisburg), Mahmut, SPD
Özoğuz, Aydan, SPD
Pahlmann, Ingrid, CDU/CSU
Pantel, Sylvia, CDU/CSU
Paschke, Markus, SPD
Patzelt, Martin, CDU/CSU
Pätzold, Dr. rer. pol. Martin, CDU/CSU
Pau, Petra, Die Linke
Paus, Lisa, Bündnis 90/Die Grünen
Petzold (Havelland), Harald, Die Linke
Petzold, Ulrich, CDU/CSU
Pfeiffer, Dr. Joachim, CDU/CSU
Pfeiffer, Sibylle, CDU/CSU
Pflugradt, Jeannine, SPD
Pilger, Detlev, SPD
Pitterle, Richard, Die Linke
Pofalla, Ronald, CDU/CSU
Pols, Eckhard, CDU/CSU
Poschmann, Sabine, SPD
Poß, Joachim, SPD
Post (Minden), Achim, SPD
Post, Florian, SPD
Pothmer, Brigitte, Bündnis 90/Die Grünen
Priesmeier, Dr. Wilhelm, SPD
Pronold, Florian, SPD
Raabe, Dr. Sascha, SPD
Raatz, Dr. Simone, SPD
Rabanus, Martin, SPD
Rachel, Thomas, CDU/CSU
Radomski, Kerstin, CDU/CSU
Radwan, Alexander, CDU/CSU
Rainer, Alois, CDU/CSU
Ramsauer, Dr. Peter, CDU/CSU
Rawert, Mechthild, SPD
Rebmann, Stefan, SPD
Rehberg, Eckhardt, CDU/CSU
Reiche (Potsdam), Katherina, CDU/CSU
Reichenbach, Gerold, SPD
Reimann, Dr. Carola, SPD
Renner, Martina, Die Linke
Riebsamen, Lothar, CDU/CSU
Rief, Josef, CDU/CSU
Riesenhuber, Prof. Dr. Heinz, CDU/CSU
Rimkus, Andreas, SPD
Rix, Sönke, SPD
Rohde, Dennis, SPD
Röring, Johannes, CDU/CSU
Rosemann, Dr. Martin, SPD
Röspel, René, SPD
Rossmann, Dr. Ernst Dieter, SPD
Rößner, Tabea, Bündnis 90/Die Grünen
Roth (Augsburg), Claudia, Bündnis 90/Die Grünen
Roth (Heringen), Michael, SPD
Röttgen, Dr. Norbert, CDU/CSU
Rüddel, Erwin, CDU/CSU
Rüffer, Corinna, Bündnis 90/Die Grünen
Rupprecht (Weiden), Albert, CDU/CSU
Rüthrich, Susann, SPD
Rützel, Bernd, SPD
Saathoff, Johann, SPD
Sarrazin, Manuel, Bündnis 90/Die Grünen
Sawade, Annette, SPD
Schabedoth, Dr. Hans-Joachim, SPD
Schäfer (Saalstadt), Anita, CDU/CSU
Schäfer (Bochum), Axel, SPD
Scharfenberg, Elisabeth, Bündnis 90/Die Grünen
Schäuble, Dr. Wolfgang, CDU/CSU
Schauws, Ulle, Bündnis 90/Die Grünen
Schavan, Dr. Annette, CDU/CSU
Scheer, Dr. Nina, SPD
Scheuer, Dr. Andreas, CDU/CSU
Schick, Dr. Gerhard, Bündnis 90/Die Grünen
Schieder (Schwandorf), Marianne, SPD
Schiefner, Udo, SPD
Schiewerling, Karl, CDU/CSU
Schimke, Jana, CDU/CSU
Schindler, Norbert, CDU/CSU
Schipanski, Tankred, CDU/CSU
Schlecht, Michael, Die Linke
Schlegel, Dr. Dorothee, SPD
Schmelzle, Heiko, CDU/CSU
Schmidt (Fürth), Christian, CDU/CSU
Schmidt (Wetzlar), Dagmar, SPD
Schmidt, Dr. Frithjof, Bündnis 90/Die Grünen
Schmidt (Ühlingen), Gabriele, CDU/CSU
Schmidt (Berlin), Matthias, SPD
Schmidt (Aachen), Ulla, SPD
Schneider (Erfurt), Carsten, SPD
Schnieder, Patrick, CDU/CSU
Schockenhoff, Dr. Andreas, CDU/CSU
Schön (St. Wendel), Nadine, CDU/CSU
Schröder (Wiesbaden), Dr. Kristina, CDU/CSU
Schröder, Dr. Ole, CDU/CSU
Schulte, Ursula, SPD
Schulte-Drüggelte, Bernhard, CDU/CSU
Schulz (Spandau), Swen, SPD
Schulz-Asche, Kordula, Bündnis 90/Die Grünen
Schulze, Dr. Klaus-Peter, CDU/CSU
Schummer, Uwe, CDU/CSU
Schurer, Ewald, SPD
Schuster (Weil am Rhein), Armin, CDU/CSU
Schwabe, Frank, SPD
Schwartze, Stefan, SPD
Schwarz, Andreas, SPD
Schwarzelühr-Sutter, Rita, SPD
Schwarzer, Christina, CDU/CSU
Seif, Detlef, CDU/CSU
Selle, Johannes, CDU/CSU
Sendker, Reinhold, CDU/CSU
Sensburg, Prof. Dr. Patrick, CDU/CSU
Siebert, Bernd, CDU/CSU
Sieling, Dr. Carsten, SPD
Silberhorn, Thomas, CDU/CSU
Singhammer, Johannes, CDU/CSU
Sitte, Dr. Petra, Die Linke
Sorge, Tino, CDU/CSU
Spahn, Jens, CDU/CSU
Spiering, Rainer, SPD
Spinrath, Norbert, SPD
Stadler, Svenja, SPD
Stamm-Fibich, Martina, SPD
Stauche, Carola, CDU/CSU
Steffel, Dr. Frank, CDU/CSU
Steffen, Sonja, SPD
Stefinger, Dr. Wolfgang, CDU/CSU
Stegemann, Albert, CDU/CSU
Stein, Peter, CDU/CSU
Steinbach, Erika, CDU/CSU
Steinbrück, Peer, SPD
Steineke, Sebastian, CDU/CSU
Steiniger, Johannes, CDU/CSU
Steinke, Kersten, Die Linke
Steinmeier, Dr. Frank-Walter, SPD
Stetten, Christian Freiherr von, CDU/CSU
Stier, Dieter, CDU/CSU
Stockhofe, Rita, CDU/CSU
Storjohann, Gero, CDU/CSU
Stracke, Stephan, CDU/CSU
Strässer, Christoph, SPD
Straubinger, Max, CDU/CSU
Strebl, Matthäus, CDU/CSU
Strenz, Karin, CDU/CSU
Stritzl, Thomas, CDU/CSU
Ströbele, Hans-Christian, Bündnis 90/Die Grünen
Strobl (Heilbronn), Thomas, CDU/CSU
Strothmann, Lena, CDU/CSU
Stübgen, Michael, CDU/CSU
Sütterlin-Waack, Dr. Sabine, CDU/CSU
Tack, Kerstin, SPD
Tackmann, Dr. Kirsten, Die Linke
Tank, Azize, Die Linke
Tauber, Dr. Peter, CDU/CSU
Tausend, Claudia, SPD
Tempel, Frank, Die Linke
Terpe, Dr. Harald, Bündnis 90/Die Grünen
Thews, Michael, SPD
Thönnes, Franz, SPD
Tiefensee, Wolfgang, SPD
Tillmann, Antje, CDU/CSU
Timmermann-Fechter, Astrid, CDU/CSU
Träger, Carsten, SPD
Tressel, Markus, Bündnis 90/Die Grünen
Trittin, Jürgen, Bündnis 90/Die Grünen
Troost, Dr. Axel, Die Linke
Uhl, Dr. Hans-Peter, CDU/CSU
Ullrich, Dr. Volker, CDU/CSU
Ulrich, Alexander, Die Linke
Vaatz, Arnold, CDU/CSU
Veit, Rüdiger, SPD
Veith, Oswin, CDU/CSU
Verlinden, Julia, Bündnis 90/Die Grünen
Viesehon, Thomas, CDU/CSU
Vietz, Michael, CDU/CSU
Vogel (Kleinsaara), Volkmar, CDU/CSU
Vogler, Kathrin, Die Linke
Vogt, Ute, SPD
Volmering, Sven, CDU/CSU
Vöpel, Dirk, SPD
Voßbeck-Kayser, Christel, CDU/CSU
Vries, Kees de, CDU/CSU
Wadephul, Dr. Johann, CDU/CSU
Wagenknecht, Dr. Sahra, Die Linke
Wagner, Doris, Bündnis 90/Die Grünen
Walter-Rosenheimer, Beate, Bündnis 90/Die Grünen
Wanderwitz, Marco, CDU/CSU
Warken, Nina, CDU/CSU
Wawzyniak, Halina, Die Linke
Weber, Gabi, SPD
Wegner, Kai, CDU/CSU
Weiler, Albert, CDU/CSU
Weinberg, Harald, Die Linke
Weinberg (Hamburg), Marcus, CDU/CSU
Weisgerber, Dr. Anja, CDU/CSU
Weiß (Emmendingen), Peter, CDU/CSU
Weiss (Wesel I), Sabine, CDU/CSU
Wellenreuther, Ingo, CDU/CSU
Wellmann, Karl-Georg, CDU/CSU
Wendt, Marian, CDU/CSU
Werner, Katrin, Die Linke
Westphal, Bernd, SPD
Whittaker, Kai, CDU/CSU
Wichtel, Peter, CDU/CSU
Wicklein, Andrea, SPD
Widmann-Mauz, Annette, CDU/CSU
Wiese, Dirk, SPD
Wiese (Ehingen), Heinz, CDU/CSU
Willsch, Klaus-Peter, CDU/CSU
Wilms, Dr. Valerie, Bündnis 90/Die Grünen
Winkelmeier-Becker, Elisabeth, CDU/CSU
Wittke, Oliver, CDU/CSU
Wöhrl, Dagmar G., CDU/CSU
Wolff (Wolmirstedt), Waltraud, SPD
Wöllert, Birgit, Die Linke
Woltmann, Barbara, CDU/CSU
Wunderlich, Jörn, Die Linke
Yüksel, Gülistan, SPD
Zdebel, Hubertus, Die Linke
Zech, Tobias, CDU/CSU
Zertik, Heinrich, CDU/CSU
Zeulner, Emmi, CDU/CSU
Ziegler, Dagmar, SPD
Zierke, Stefan, SPD
Zimmer, Prof. Dr. Matthias, CDU/CSU
Zimmermann, Dr. Jens, SPD
Zimmermann, Pia, Die Linke
Zimmermann (Zwickau), Sabine, Die Linke
Zöllmer, Manfred, SPD
Zollner, Gudrun, CDU/CSU
Zypries, Brigitte, SPD
