"content","cmp_code"
"und einer offeneren Gesellschaft einiges erreicht, aber in vielerlei Hinsicht haben wir gerade erst angefangen.","503"
"1. Es ist an der Zeit, den grünen Wandel entschlossen voranzutreiben",NA
"Wir müssen heute etwas ändern, damit auch die kommenden Generationen frei entscheiden können, wie sie leben wollen.","416"
"Wir wollen heute etwas ändern, um zu einer Wirtschaftsweise zu kommen, die allen nutzt und nicht nur wenigen","503"
"– die auf Erneuerbare Energien gebaut ist statt auf Öl, Kohle, Atom und Gas,","501"
"die unsere Umwelt schützt, statt sie zu zerstören.","501"
"Wir müssen dringend etwas ändern, um das Auseinanderfallen unserer Gesellschaft in drinnen und draußen, in arm und reich, oben und unten zu stoppen.","606"
"Und wir wollen heute etwas ändern, damit wir morgen endlich in einer vielfältigen Gesellschaft leben, in der Kinder, Frauen und Männer, Menschen verschiedener sexueller Identität, verschiedener Religionen, aus unterschiedlichen Kulturen oder unterschiedlicher Herkunft endlich gleichberechtigt leben können und gleiche Möglichkeiten haben.","503"
"Wir wollen alle von der Notwendigkeit des Wandels überzeugen.","305"
"Lobbyismus und Klientelinteressen werden wir entschieden entgegentreten und sie in die Schranken weisen.","202"
"Auch das ist die Aufgabe demokratischer Politik.","202"
"Politik braucht Ideale, braucht Grundsätze und Werte, eine nachvollziehbare Richtung – doch genau das vermissen wir und viele andere bei dieser schwarz-gelben Regierung.","603"
"Ohne Kompass gibt es keine Orientierung, sind politische Schritte nur noch von tagespolitischen Bedürfnissen und Machtinteressen abhängig.","603"
"Wir wenden uns mit diesem Programm an alle IdealistInnen, denn auch wir glauben: Eine bessere Gesellschaft ist möglich.","305"
"Wir wenden uns mit diesem Programm an alle RealistInnen, denn auch wir wissen, dass die besten Ideale wenig wert sind, wenn wir nicht nach machbaren Vorschlägen suchen, sie zu verwirklichen.","305"
"Wir legen in unserem Programm dar, welche Ideen, welche Grundsätze und Werte grüne Politik anleiten – und machen deutlich, wie wir diese Werte in konkrete Politik übersetzen.","305"
"2. Warum wir den grünen Wandel brauchen",NA
"Die wirtschaftliche Lage ist in Deutschland auf den ersten Blick gut.","408"
"Unser Land hat viele beeindruckende, technologisch starke Unternehmen, gut ausgebildete Beschäftigte und viele kreative Köpfe.","601"
"Sie haben Deutschland, vor allem über den Exporterfolg, besser als viele andere Staaten durch die Finanz- und Wirtschaftskrise gebracht.","408"
"Allein dieser ökonomische Erfolg ist nicht nachhaltig, weil unsere Wirtschaftsweise noch immer viel zu viel zur Zerstörung der natürlichen Lebensgrundlagen beiträgt.","416"
"Die Produktion unseres Essens, unserer Handys, Autos, Kleider oder Möbel ist noch immer mit immensen Emissionen und Ressourcenverbrauch verbunden.","416"
"Das Erdklima heizt sich weiter ungebremst auf.","501"
"Das wird von niemandem mehr ernsthaft bestritten.","501"
"Die Folgen der Klimakatastrophe haben uns zum Teil schon jetzt erreicht, nicht nur in Australien und am Nordpol.","501"
"Schon jetzt nehmen Dürren, Stürme, extreme Hitze- und Kälteperioden zu, schon jetzt flüchten jährlich weltweit Millionen von Menschen vor den Auswirkungen der Klimakatastrophe.","501"
"Die Folgen dieser Entwicklung werden bald noch spürbarer werden.","501"
"Wir gehen noch immer verschwenderisch mit Rohstoffen um, deren Vorkommen begrenzt ist und deren Abbau die Flüsse vergiftet, die Erde verseucht, die Luft verpestet und Menschen von ihrem Land vertreibt.","501"
"Menschen in vielen Ländern der Welt verlieren durch unseren Lebensstil ihre Existenzgrundlage, sie bauen auf ihren Feldern Futtersoja an für unseren Fleischkonsum, sie arbeiten unter fürchterlichen und gefährlichen Bedingungen für unsere Billigkleidung.","503"
"Auch Kinder schuften unter furchtbaren Bedingungen für unseren Konsum.","706"
"Wälder werden gerodet, Böden übernutzt, die Artenvielfalt schrumpft in rasendem Tempo.","501"
"So untergräbt unser Wohlstand seine eigenen Grundlagen.","416"
"Unser ökonomischer Erfolg ist nicht nachhaltig, weil die einseitige Exportorientierung zu massiven Ungleichgewichten in der Europäischen Union beigetragen hat und weil die Ungleichgewichte in unserer Gesellschaft immer größer geworden sind.","416"
"Die Einkommens- und Vermögensschere hat sich immer stärker geöffnet.","503"
"Während einige wenige hohe Gewinne einfahren, arbeitet mehr als jede/r fünfte Beschäftigte für einen Niedriglohn, davon 6,8 Millionen deutlich unter 8,50 Euro.","701"
"Obwohl immer mehr Menschen in Arbeit sind, steigt dennoch die Armut.","701"
"10 % der Haushalte in Deutschland verfügen über weit mehr als die Hälfte des gesamten Nettovermögens.","503"
"Die unteren 50 % der Haushalte in Deutschland besitzen zusammen gerade einmal 1 % des Nettovermögens.","503"
"In den letzten zehn Jahren ist die Verschuldung der öffentlichen Hand um 800 Mrd. Euro gewachsen – das ungleich verteilte private Vermögen hingegen hat sich von fast fünf auf über zehn Billionen Euro mehr als verdoppelt.","503"
"Marode Schulen, geschlossene Schwimmbäder, stillgelegte Bahnhöfe, fehlende Kita-Plätze, zu wenig Ganztagsschulen – in den meisten Kommunen fehlt Geld für unsere öffentlichen Einrichtungen.","301"
"Diese Entwicklung stellt den Zusammenhalt der Gesellschaft in Frage.","606"
"Wir schaden unserer Zukunft, wenn in einem reichen Land wie Deutschland mehr als 2,5 Millionen Kinder und Jugendliche in Armut aufwachsen.","503"
"Nicht nur das, auch ihre Aufstiegschancen sind schlecht.","503"
"In Deutschland entscheidet sich in der Regel schon mit der Geburt, ob ein Kind später Abitur oder überhaupt einen Schulabschluss macht, ob es eine Chance auf einen Ausbildungsplatz hat, auf ein selbständiges Leben in Würde.","503"
"Die traurige Wahrheit ist: Armut vererbt sich in unserem Land.","503"
"Unseren Kindern sollte es einmal besser gehen.","503"
"Heute hoffen viele, dass es ihnen wenigstens nicht schlechter geht.","503"
"Es ist nicht minder skandalös, dass Eltern immer noch um einen Kinderbetreuungsplatz kämpfen müssen, wenn sie einen wollen und brauchen.","504"
"Noch immer gibt es auch viel zu wenig Ganztagsschulen und gute, ganztägig geöffnete Kitas in Deutschland.","506"
"Seit Jahrzehnten reden wir über die Vereinbarkeit von Familie und Beruf, seit Jahrzehnten tut sich viel zu wenig.","504"
"Wahlfreiheit in der Kinderbetreuung gibt es nur für diejenigen wirklich, die es sich finanziell leisten können.","504"
"Familie ist da, wo Kinder sind.","604"
"Und Familie ist selbstverständlich da, wo Menschen füreinander einstehen und Verantwortung füreinander übernehmen.","604"
"Kinder brauchen Eltern und Menschen, die sie lieben.","604"
"Und es muss egal sein, ob die Eltern lesbisch, hetero oder schwul sind.","604"
"Die ideologische Verweigerung des Adoptionsrechts und der Ehe für gleichgeschlechtliche Paare ist diskriminierend und muss überwunden werden.","604"
"Es ist unwürdig, dass die notwendige Modernisierung vom Bundesverfassungsgericht und nicht vom Par-lament vorangetrieben wird.","604"
"Frauen und Männer sind in Deutschland immer noch nicht gleichberechtigt.","503"
"Frauen erhalten weniger Lohn, auch für vergleichbare Tätigkeiten, und steigen seltener in Führungspositionen auf.","503"
"Viel häufiger als Männer sind sie zu Niedriglöhnen und in unsicheren Arbeitsverhältnissen beschäftigt, die keinen Spielraum für eine eigenständige Absicherung bieten; sie sind deshalb auch öfters von Altersarmut bedroht.","503"
"Und sie tragen einen Großteil der häuslichen Sorgearbeit und der Kindererziehung.","503"
"Hier tut sich seit Jahren wenig.","503"
"Auch eine Frau als Kanzlerin macht noch keine gute Gleichstellungspolitik.","503"
"Es ist erschreckend, dass eine rechte Terrorgruppe über zehn Jahre hinweg, angetrieben von einem blinden Hass auf alles, was nicht ihrem kruden Weltbild entsprach, mit Bombenanschlägen und kaltblütigen Morden ungehindert durch unser Land ziehen konnte.","605"
"Das Vertrauen in unsere Sicherheitsbehörden ist tief erschüttert.","605"
"Echte Konsequenzen aus diesem staatlichen Versagen wurden immer noch nicht gezogen.","605"
"Es besorgt uns zutiefst, dass unter Merkels Führung das Europa der Nationalstaaten auf Kosten der Europäischen Gemeinschaft reaktiviert wurde.","108"
"Mit der Devise „An Deutschlands Wesen soll Europa genesen“ gefährdet die Koalition Angela Merkels nicht nur die weitere Integration, sondern auch das friedliche Miteinander in der EU.","602"
"Mit dem national fokussierten Blick hat Schwarz-Gelb unter dem Deckmantel des Spardiktats in wenigen Monaten über Jahrzehnte aufgebaute Eckpfeiler des Friedensprojekts EU – wie Vertrauen, Solidarität und Einheit in Vielfalt – ins Wanken gebracht.","602"
"Wir finden, das darf nicht so weitergehen.","602"
"Wir wollen unsere Demokratie","202"
"und die Bürgerrechte stärken.","201"
"Wir wollen gemeinsam einen grünen Wandel hin zu einer Wirtschaft und Gesellschaft schaffen, der nicht auf Kosten des Planeten, nachkommender Generationen oder wirtschaftlich schwächerer Menschen in anderen Regionen geht.","416"
"Ein grüner Wandel, der das Vertrauen in staatliche Institutionen wieder stärkt.","303"
"Deutschland hat alle Mittel dazu, das zu schaffen: die Menschen, die Technologien, das Wissen.","601"
"Und auch den Willen.","305"
"Denn die Gesellschaft ist weiter, als Merkel und ihr Kabinett uns glauben machen wollen.","305"
"Die große Mehrheit will, dass es in unserer Gesellschaft gerechter zugeht,","503"
"dass mehr Beteiligung möglich ist","202"
"und dass wir endlich Verantwortung für unsere Zukunft übernehmen.","416"
"Die Mehrheit der Bürgerinnen und Bürger hat längst verstanden, dass wir schonender mit unseren natürlichen Ressourcen umgehen müssen,","501"
"dass wir einen neuen sozialen Ausgleich und ein echtes Teilhabeversprechen brauchen,","503"
"dass wir unsere Demokratie erhalten und dafür aber auch etwas tun müssen.","202"
"Doch diesen gesellschaftlichen Mehrheiten steht eine schwarzgelbe Koalition entgegen, deren Kanzlerin Klientelinteressen schützt, statt sich auf die Seite des Wandels zu stellen.","305"
"Verwandeln wir also endlich die gesellschaftliche Mehrheit in eine politische Mehrheit.","305"
"Eine andere, eine bessere Politik ist möglich!","305"
"3. Unser Ziel: ein besseres Morgen",NA
"Wir können gemeinsam eine Wirtschaft schaffen, die Lebensqualität für alle schafft, ohne Umwelt, Natur und unsere natürlichen Lebensgrundlagen zu zerstören.","416"
"Wir können gemeinsam eine gerechte Gesellschaft schaffen, in der niemand ausgeschlossen ist von Bildung und Arbeit und einem Leben in Würde.","503"
"Mit der Energiewende übernehmen wir eine weltweite Vorreiterrolle.","501"
"Damit können wir in Deutschland zeigen, dass eine erfolgreiche Industrienation den Umbau zu einer klimafreundlichen Energieversorgung schaffen kann.","601"
"Wir können dem stockenden internationalen Klimaschutz so ganz neue Impulse geben und die drohende Klimakatastrophe noch abwenden.","501"
"Gleichzeitig können mit diesen politischen Rahmenbedingungen innovative UnternehmerInnen hunderttausende neue Jobs schaffen","701"
"und alte Abhängigkeiten vom Import teurer Rohstoffe wie Kohle, Öl und Gas wer-den beseitigt.","408"
"Das spart viel Geld und macht unsere Produktion sauber.","416"
"Die neue, saubere Energie wird dabei von vielen kleinen Unternehmen in Bürgerhand erzeugt, nicht nur von einigen wenigen Großkonzernen, die heute den Wandel bremsen, weil sie uns teuren Strom verkaufen wollen, ohne Konkurrenz fürchten zu müssen.","408"
"Wir ziehen endlich die Konsequenz daraus, dass die natürlichen Ressourcen begrenzt sind und eine Energieversorgung der Zukunft nicht auf Kohle und Öl aufbauen darf – und auf Atom schon gar nicht.","501"
"Der Ressourcenhunger der Industrie- und Schwellenländer ist für die Konflikte auf unserem Globus mitverantwortlich.","106"
"Der gerechte Zugang zu Energie und der Nutzung von natürlichen Ressourcen ist aktive Friedenspolitik, genauso wie der Ersatz endlicher Rohstoffe durch erneuerbare.","106"
"Die Wirtschaft, die wir brauchen, soll Wohlstand für alle schaffen.","503"
"Wir setzen auf eine nachhaltige Wirtschaft als Leitbild.","416"
"Bisher wird unsere Wirtschaft fast ausschließlich anhand ihres Wachstums beurteilt.","416"
"Die Fixierung von Politik und Medien allein auf das Brutto inlandsprodukt (BIP) hat uns in die Irre geführt.","416"
"Über die wichtigsten Dinge, die das Leben lebenswert machen, sagt das BIP nichts aus.","416"
"Ist Wachstum mit Umweltzerstörung und Ungerechtigkeit erkauft, kann es uns unterm Strich sogar ärmer machen.","416"
"Deshalb brauchen wir einen neuen Gradmesser für Wohlstand und Lebensqualität – einen neuen Wohlstandsindikator, der die soziale und ökologische Dimension des Wohlstandes mit umfasst.","416"
"Wir wollen eine Wirtschaft, die den Menschen und nicht Märkte in den Mittelpunkt stellt.","416"
"Wir haben es in der Hand, unsere Gesellschaft so zu gestalten, dass alle Menschen gerecht an ihr teilhaben können, dass Arm und Reich nicht unerreichbar weit auseinanderliegen, Wenige sich nicht auf Kosten Vieler bereichern, und alle Zugang zu den Ressourcen für ein selbstbestimmtes Leben haben.","503"
"Wir wollen, dass sich jeder Mensch gemäß seinen Fähigkeiten und Potentialen entwickeln kann – in guten Kitas und Schulen","506"
"und nicht abhängig vom Geldbeutel der Eltern.","503"
"Wir wollen eine solidarische Gesellschaft, in der starke Schultern mehr tragen als schwache.","503"
"Wir geben aber auch klar Auskunft, wie wir die Mittel einsetzen wollen, um zu guten öffentlichen Institutionen zu kommen, von denen alle profitieren.","303"
"Wir arbeiten so an einer sozialen und ökologischen Neubegründung unserer Marktwirtschaft.","403"
"Wir schaffen endlich klare Regeln für die Finanzmärkte.","403"
"Gute Arbeit,","701"
"gute Löhne,","701"
"mehr Mitsprache der Beschäftigten – all das kann und muss zum wirtschaftlichen und sozialen Erfolg beitragen.","701"
"Wir wollen in einer modernen Gesellschaft leben, in der Menschen gleichberechtigt sind und gleiche Chancen und Möglichkeiten haben – Frauen und Männer, Menschen mit Behinderungen, Flüchtlinge, Menschen unterschiedlicher Herkunft und unterschiedlichen Alters, Menschen verschiedenen Glaubens und verschiedener sexueller Identität.","503"
"Wir wollen unsere Demokratie wiederbeleben, so dass neben den gewählten Parlamenten vor allem die Bürgerinnen und Bürger mitentscheiden – und nicht starke Lobbys, für die das Gemeinwohl kein Kriterium ist.","202"
"Wir wollen einen respektvollen Umgang mit der Natur, der die Artenvielfalt, den Boden, die Luft und das Wasser schützt.","501"
"Wir wollen eine naturnahe Waldwirtschaft.","501"
"Wir wollen eine Landwirtschaft, die nicht mehr von tierquälerischer Massentierhaltung und klimaschädlicher Fleisch- und Milchproduktion geprägt ist.","501"
"Wir wollen informierte Verbraucherinnen und Verbraucher mit gesicherten Rechten – keine Lebensmittel- oder Datenschutzskandale in Serie.","403"
"Wir richten unsere Politik nicht nach Himmelsrichtungen aus.","305"
"Weder Ost und West noch Nord und Süd dürfen gegeneinander ausgespielt werden.","606"
"Wir packen die Probleme dort an, wo sie bestehen.","305"
"Unser Ziel sind gleiche Chancen, Möglichkeiten und vergleichbare Lebensverhältnisse in allen Regionen.","503"
"Auch deshalb bedarf es auch über 20 Jahre nach der friedlichen Revolution der Solidarität zwischen den ost- und westdeutschen Ländern.","606"
"Wir können auch heute noch viel voneinander lernen und uns gemeinsam entwickeln.","606"
"Grüne Politik denkt und handelt auch vor Ort.","301"
"Städte und Dörfer sind zentrale Orte des öffentlichen Zusammenlebens.","301"
"Es wird Zeit, dass die Kommunen wieder in die Lage versetzt werden, ihre Aufgaben wahrnehmen zu können, denn Zusammenleben und Demokratie bekommen hier ihr Gesicht.","301"
"Wir wollen ein europäisches Deutschland – kein deutsches Euro-pa.","602"
"Die Bundesrepublik hat vom Zusammenwachsen Europas profitiert wie kein anderes Land.","108"
"Doch in der Krise hat sich gezeigt, dass Europa Reformen braucht.","108"
"Wir sind uns sicher: Um die großen Herausforderungen zu gestalten, brauchen wir mehr Europa.","108"
"Aber wir brauchen auch ein anderes Europa: ein Europa, das miteinander mehr gegen Jugendarbeitslosigkeit und Armut unternimmt,","503"
"das gemeinsam den Weg hin zu den Erneuerbaren Energien geht,","501"
"das Flüchtlinge schützt, anstatt die Grenzen Europas zu todbringenden Mauern aufzurüsten.","705"
"Ein Europa mit gemeinsamen Sozialstandards und mehr Kooperation in Steuer- und Finanzfragen.","108"
"Wir brauchen ein demokratisches Europa der Bürgerinnen und Bürger statt ein Europa der Regierungen, Verwaltungen und Expertokratie.","202"
"Wir stehen für eine Politik, die global denkt und handelt.","107"
"Unsere ambitionierte innenpolitische Reformagenda geht einher mit einer global durchdachten Politik.","107"
"Den Schutz des Klimas, den Erhalt der natürlichen Ressourcen und der biologischen Vielfalt gibt es nur global.","107"
"Unser Ziel ist es, Menschenrechte umzusetzen,","201"
"Armut zu reduzieren,","503"
"Frieden zu sichern","106"
"sowie Geschlechtergerechtigkeit","503"
"und Demokratie zu fördern.","202"
"Wir glauben, dass viele in Deutschland so denken, vielleicht sogar die meisten.","305"
"Doch um zu diesem Ziel zu kommen, müssen wir noch vieles verändern.","305"
"Und wir müssen es bald tun, denn eine falsche Wirtschaftsweise und eine ungerechte Gesellschaft verursachen Schäden, die nicht mehr zu reparieren sind.","305"
"Wir glauben, der grüne Wandel ist der richtige Weg zu diesem besseren Morgen.","305"
"4. Teilhaben. Einmischen. Zukunft schaffen – Motoren des grünen Wandels",NA
"Eine bessere Politik lässt Menschen teilhaben.","202"
"Denn nur wer Teil dieser Gesellschaft ist, wer Zugang hat zu den öffentlichen Gütern, wird nicht abgehängt und kann selbstbestimmt leben.","503"
"Eine bessere Politik braucht Menschen, die sich einmischen und begreift diese nicht als Störfaktor.","202"
"Eine bessere Politik schaut voraus und schafft Zukunft – heute schon.","416"
"Teilhaben. Einmischen. Zukunft schaffen – das ist die Richtung des grünen Wandels.","202"
"Teilhaben. Einmischen. Zukunft schaffen – das sind zugleich seine Motoren.","202"
"Teilhaben: Ihre Stimme für mehr Gerechtigkeit",NA
"Schaffen wir einen grünen Wandel für mehr soziale Teilhabe!","503"
"Teilhabe ist eine elementare Bedingung für Gerechtigkeit:","503"
"Teilhabe am Arbeitsmarkt,","701"
"Teilhabe an der Bildung,","506"
"Teilhabe an sozialer Sicherung,","504"
"Teilhabe an einem Gesundheits- und Pflegesystem, das keine Unterschiede zwischen den Menschen und ihren Einkünften oder ihrer Herkunft macht –","504"
"Teilhabe aber auch an wirtschaftlicher Entwicklung und ökonomischem Erfolg.","503"
"Eine Politik der Teilhabe braucht neben einer menschenwürdigen Grundsicherung","504"
"die Erneuerung und Stärkung unserer öffentlichen Institutionen.","303"
"Wir wollen sie an die Öffentlichkeit zurückgeben: die öffentlichen Orte, Räume und Netze.","413"
"Ob Kitas oder Schulen, Hochschulen oder Berufsschulen, Krankenhäuser oder Pflegeeinrichtungen, Jobcenter oder Arbeitsagenturen, öffentliche Plätze oder Stadtteilzentren, Jugend- oder Kultureinrichtungen: Überall dort entscheidet sich, ob Teilhabe möglich ist.","503"
"Die Erneuerung all dieser öffentlichen Institutionen braucht höhere Qualität,","303"
"Öffnung für alle","503"
"und bessere Beteiligungsmöglichkeiten.","202"
"Wir beschreiben in den Kapiteln unseres Programms genau, wie die Erneuerung dieser Orte, Räume und Netze aussehen kann.","305"
"Hier investieren wir Geld – und vor allem unsere Ideen.","305"
"Wir wollen eine inklusive Gesellschaft, in der es normal ist, verschieden zu sein, in der alle Zugang haben.","503"
"Unabhängig von Geschlecht, sexueller Identität oder Herkunft, Alter oder Elternhaus, körperlicher oder psychischer Verfassung: Wir bauen die Barrieren ab.","503"
"Wir wollen eine Gesellschaft, in der alle Menschen gleiche Freiheitsrechte, Teilhabechancen und Möglichkeiten eines selbstbestimmten Lebens haben und erwünscht sind.","201"
"Gleich ob Schule oder Arbeitsmarkt, Stadtviertel oder Kultureinrichtung, Gesundheit oder Pflege: Unser Ziel ist eine durchlässige Gesellschaft, die Blockaden abbaut, in der Anstrengung belohnt wird und niemand durch verschlossene Türen und gläserne Decken ausgebremst und ausgeschlossen wird.","503"
"Teilhaben – das braucht eine solide und solidarische Finanzierungsbasis, in der die stärkeren Schultern mehr tragen als die schwächeren.","503"
"Deshalb sollen die kleinen Einkommen entlastet und die höheren stärker einbezogen werden.","503"
"Wir wollen Gering- und NormalverdienerInnen entlasten durch ein höheres steuerfreies Existenzminimum","503"
"und stabilisierte Beiträge für Krankheit und Pflege durch eine Bürgerversicherung.","504"
"Erben sollen einen höheren Beitrag zur Finanzierung von Bildung und Kultur in den Ländern leisten.","502"
"Verdienst aus Geldanlagen soll wieder genauso hoch besteuert werden wie Verdienst aus Arbeit.","408"
"Und wir wollen eine Vermögensabgabe für das reichste Prozent der Bevölkerung, die dazu dient, den durch die Finanzkrise enorm gewachsenen Schuldenberg abzutragen – damit unsere Steuergelder nicht für die Zinstilgung, nicht für das Zahlen von Zinsen, sondern für mehr Teilhabe und bessere öffentliche Güter für alle genutzt werden können.","414"
"Grundlage unserer finanz- und steuerpolitischen Reformen, die wir in diesem Programm vorschlagen, ist eine transparente Finanz- und Haushaltspolitik, die die Gesamtbelastung der Bürgerinnen und Bürger sowie der Unternehmen beachtet.","303"
"Maßstab für die Entwicklung und Umsetzung dieser Reformen waren und sind Gerechtigkeit und Leistungsfähigkeit","503"
"sowie die Bewahrung der betrieblichen Investitionsfähigkeit.","402"
"Entlang dieser Maßstäbe haben wir unsere finanz- und steuerpolitischen Reformen entwickelt und überprüft und werden es auch in Zukunft tun.","303"
"Teilhaben – das gilt nicht nur innerhalb Deutschlands, sondern auch europa- und weltweit.","503"
"Wir wollen europaweit zu einer Finanzierungsbasis für Teilhabe beitragen durch einen europäischen Steuerpakt zum Schließen von Steueroasen und zum Beenden von Steuerdumping.","108"
"Teilhaben – das geht nur mit gerechten Löhnen und guter Arbeit für alle.","701"
"Deshalb wollen wir prekäre Arbeitsverhältnisse eindämmen,","701"
"Minijobs ersetzen,","701"
"den Missbrauch von Leiharbeit und Werkverträgen verhindern","403"
"und das Tarifvertragssystem stärken.","701"
"Teilhaben – das braucht eine gerechte Verteilung von Einkommen und Vermögen.","503"
"Denn eine Gesellschaft mit großer Ungleichheit kann ihre Potentiale nicht nutzen – sie verliert den Rückhalt ihrer Mitglieder und damit den Kitt, der sie zusammenhält.","503"
"Unsere Gesellschaft muss wieder von der wirtschaftlichen Entwicklung profitieren, nicht nur die obersten 10 %.","503"
"Neben Steuern und Sozialabgaben braucht es dafür auch eine andere Wirtschaftspolitik, die die Dominanz einzelner Akteure zurückdrängt.","403"
"Teilhaben – das bedeutet im 21. Jahrhundert auch, Zugang zu schnellem Internet zu haben.","411"
"Soziale wie ökonomische Teilhabe hängt nicht zuletzt vom Breitbandinternetanschluss ab.","411"
"Wir wollen gesetzlich sicherstellen, dass jede/r am schnellen Internet teilhaben kann.","411"
"Teilhaben – das braucht ein diskriminierungsfreies gesellschaftliches Klima, in dem alle Menschen ihre Chance bekommen und sich einbringen können.","503"
"Wir wollen unsere Einwanderungsgesellschaft so gestalten, dass Menschen unterschiedlicher Herkunft gleichberechtigt zusammenleben können.","503"
"Wir wollen eine moderne Integrationspolitik, die anerkennt, dass jede Einbürgerung ein Erfolg ist.","607"
"Teilhaben – das zielt auch auf Gerechtigkeit zwischen den Geschlechtern.","503"
"Sexismus und die Benachteiligung von Frauen sind in vielen Fällen noch immer trauriger Alltag.","503"
"Wir machen mit dem Skandal Schluss, dass viele Frauen immer noch keine eigenständige Existenzsicherung haben, dass sie die schlechteren Karrierechancen und niedrigere Löhne in Kauf nehmen müssen.","503"
"Dafür brauchen wir ein Gleichstellungsgesetz für die Privatwirtschaft,","503"
"ein Entgeltgleichheitsgesetz,","503"
"eine Quote in Aufsichtsräten","503"
"und einen Rechtsanspruch auf eine ganztägige Kinderbetreuung.","504"
"Außerdem wollen wir das Ehegattensplitting in eine Individualbesteuerung umwandeln.","604"
"Machen wir aus der gesellschaftlichen eine politische Mehrheit: für gute öffentliche Institutionen,","303"
"für eine gerechtere Verteilung","503"
"und ein soziales Sicherungssystem, das seinen Namen wirklich verdient.","504"
"Für eine gerechte Gesellschaft, an der alle teilhaben.","503"
"Einmischen: Ihre Stimme für mehr Beteiligung",NA
"Schaffen wir einen grünen Wandel für mehr demokratische Beteiligung!","202"
"Misch dich ein!","202"
"Das war unser Credo bei unserer Parteigründung in Ost wie West.","305"
"Und Einmischung braucht unsere Demokratie auch heute.","202"
"Wir wissen, was Bürgerbewegungen auch über festgefahrene Strukturen und Parteigrenzen hinweg erreichen können.","202"
"Wir wollen mit unserer Politik das Einmischen leichter machen.","202"
"Demokratie zählt zum Wertvollsten, was wir haben.","202"
"Und gerade deshalb wollen wir sie neu beleben, ihr neue Kraft geben.","202"
"Das geht nur, wenn sich die Bürgerinnen und Bürger einbringen können und ihre demokratischen Rechte geltend machen.","202"
"Wir beschreiben in unserem Programm, wie eine neue demokratische Kultur aussehen kann.","202"
"Wir setzen auf eine Politik des Zuhörens, Hörbarmachens und Mitentscheidens, in der Einmischung gewünscht ist und die Politik die Gründe ihres Handelns offenlegt und zur Diskussion stellt.","202"
"Einmischen erfordert zunächst neue Mitbestimmungsmöglichkeiten.","202"
"Wir schaffen mehr Bürgerbeteiligung in den Planungsverfahren und bessere Möglichkeiten für Bürgerbegehren und Volksentscheide.","202"
"Die Einführung der Europäischen Bürgerinitiative beispielsweise ist ein großer Erfolg.","202"
"Das fordern wir auch, wenn es um unser Herzensanliegen geht, die neue klimafreundliche Energieversorgung.","501"
"Einmischung ist erwünscht, auch wenn uns GRÜNEN dann ab und zu der Wind ins Gesicht bläst.","202"
"Wer möchte, dass die Menschen sich einmischen und den Wandel aktiv mitgestalten können, der muss nicht nur an den Verfahren feilen, sondern auch die Voraussetzungen fürs Einmischen schaffen.","202"
"Einmischen – das braucht zum Beispiel starke Kommunen und Beteiligung vor Ort.","301"
"Menschen sind engagiert und kompetent – gerade da, wo sie zu Hause sind, in ihrer Kommune:","606"
"Elterninitiativen, die mit selbstverwalteten Kitas vorangehen und zeigen, wie dringend notwendig die Betreuung von unter Dreijährigen ist; Bürgerinnen und Bürger, die den „Atomausstieg selber machen“ und den Energie versorger wechseln, weil es ihnen zu langsam vorangeht; Sportvereine, die der Politik zeigen, dass ein neues Miteinander manchmal so einfach umzusetzen ist.","606"
"Einmischen – das heißt aber auch die Barrieren für Beteiligung zu beseitigen.","202"
